iShares Biotechnology ETF
Fund Holdings as of,"Dec 26, 2025"
Inception Date,"Feb 05, 2001"
Shares Outstanding,"50,150,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"VRTX","VERTEX PHARMACEUTICALS INC","Health Care","Equity","746,448,932.10","8.67","746,448,932.10","1,612,549.00","462.90","United States","NASDAQ","USD","1.00","USD","-"
"GILD","GILEAD SCIENCES INC","Health Care","Equity","692,882,955.30","8.05","692,882,955.30","5,556,399.00","124.70","United States","NASDAQ","USD","1.00","USD","-"
"AMGN","AMGEN INC","Health Care","Equity","673,855,979.81","7.83","673,855,979.81","2,024,017.00","332.93","United States","NASDAQ","USD","1.00","USD","-"
"REGN","REGENERON PHARMACEUTICALS INC","Health Care","Equity","593,222,238.22","6.89","593,222,238.22","755,726.00","784.97","United States","NASDAQ","USD","1.00","USD","-"
"ALNY","ALNYLAM PHARMACEUTICALS INC","Health Care","Equity","388,215,374.31","4.51","388,215,374.31","969,109.00","400.59","United States","NASDAQ","USD","1.00","USD","-"
"INSM","INSMED INC","Health Care","Equity","279,389,000.80","3.24","279,389,000.80","1,570,660.00","177.88","United States","NASDAQ","USD","1.00","USD","-"
"ARGX","ARGENX SE ADR","Health Care","Equity","255,399,037.92","2.97","255,399,037.92","302,276.00","844.92","Belgium","NASDAQ","USD","1.00","USD","-"
"NTRA","NATERA INC","Health Care","Equity","229,274,631.04","2.66","229,274,631.04","980,896.00","233.74","United States","NASDAQ","USD","1.00","USD","-"
"BIIB","BIOGEN INC","Health Care","Equity","193,682,135.40","2.25","193,682,135.40","1,093,755.00","177.08","United States","NASDAQ","USD","1.00","USD","-"
"ONC","BEONE MEDICINES AG","Health Care","Equity","168,690,287.61","1.96","168,690,287.61","539,999.00","312.39","China","NASDAQ","USD","1.00","USD","-"
"UTHR","UNITED THERAPEUTICS CORP","Health Care","Equity","157,325,596.44","1.83","157,325,596.44","310,209.00","507.16","United States","NASDAQ","USD","1.00","USD","-"
"ILMN","ILLUMINA INC","Health Care","Equity","149,682,761.40","1.74","149,682,761.40","1,109,172.00","134.95","United States","NASDAQ","USD","1.00","USD","-"
"INCY","INCYTE CORP","Health Care","Equity","145,188,331.68","1.69","145,188,331.68","1,450,288.00","100.11","United States","NASDAQ","USD","1.00","USD","-"
"GMAB","GENMAB SPONSORED ADR","Health Care","Equity","122,725,391.88","1.43","122,725,391.88","3,672,214.00","33.42","Denmark","NASDAQ","USD","1.00","USD","-"
"NBIX","NEUROCRINE BIOSCIENCES INC","Health Care","Equity","105,314,371.56","1.22","105,314,371.56","725,006.00","145.26","United States","NASDAQ","USD","1.00","USD","-"
"RVMD","REVOLUTION MEDICINES INC","Health Care","Equity","99,689,105.00","1.16","99,689,105.00","1,234,540.00","80.75","United States","NASDAQ","USD","1.00","USD","-"
"MEDP","MEDPACE HOLDINGS INC","Health Care","Equity","95,787,668.76","1.11","95,787,668.76","168,771.00","567.56","United States","NASDAQ","USD","1.00","USD","-"
