ticker,vol_30d,ret_1m,ret_3m,fwd_6m,label,phase_1,phase_2,phase_3,phase_4,active_trials,total_trials,pipeline_density,late_stage_ratio,risk_score
AARD,0.06753421822949345,0.32199496278054096,0.7541210889453748,-0.004068069771713478,0,0,0,2,0,2,2,0.6666666666666666,0.6666666666666666,0.0
ABBV,0.010895205841875814,0.0011654184415541557,-0.07735248840435605,0.2634000537317467,0,64,95,78,15,321,321,0.2422360248447205,0.2888198757763975,0.6808510638297872
ABCL,0.054098137835882125,0.5616257449341708,0.47909752709328945,0.008746347173728575,0,1,1,0,0,2,2,0.0,0.0,1.0
ABSI,0.026349603223917842,-0.05572992810737598,0.0160124274136223,0.342412504785766,0,0,0,0,0,0,0,0.0,0.0,0.0
ABT,0.011284270487650573,0.024958280751842365,0.04970194864122235,-0.07590926867422765,0,0,0,0,1,83,83,0.0,0.011904761904761904,0.0
ABUS,0.02213537865233485,-0.10355735779476505,-0.09705541148806673,0.5275080651452166,1,0,0,0,0,0,0,0.0,0.0,0.0
ABVX,0.056878247583150965,0.2810418463112807,0.24978636778173235,17.352940149831582,1,0,0,0,0,0,0,0.0,0.0,0.0
ACAD,0.05111304989689057,-0.029704889658618172,0.28894646057885476,0.2637923326175544,0,0,4,2,1,7,7,0.25,0.375,0.0
ACIU,0.053119158686827275,0.21392112968744104,0.08488006225270661,0.6009852442386971,1,2,2,0,0,4,4,0.0,0.0,2.0
ACLX,0.024648596871572056,0.03689425429908055,0.02386216984235967,-0.010933959565482487,0,2,1,1,0,4,4,0.2,0.2,1.0
ACRS,0.04600753378649401,-0.008503063292949031,-0.044530390288650135,1.1197183672054227,1,1,2,0,0,3,3,0.0,0.0,1.0
ADCT,0.07819392181695671,0.001681324921861016,0.7683687529516233,0.3059701167227944,0,0,0,0,0,0,0,0.0,0.0,0.0
ADMA,0.026191268988027934,-0.0736534654200236,-0.05672982686578609,0.049423480017982024,0,0,0,0,0,0,0,0.0,0.0,0.0
ADPT,0.028901275432782175,0.23531716699864813,0.5102400057496479,0.4291845634095208,1,0,0,0,0,0,0,0.0,0.0,0.0
AGIO,0.020545270232843176,0.04834623127771864,0.12091048336378418,-0.18340345105104316,0,1,5,5,0,13,13,0.35714285714285715,0.35714285714285715,0.16666666666666666
AKBA,0.036817600221285364,0.20592371573115453,0.696795401148996,-0.5549450664614695,0,0,0,1,0,1,1,0.5,0.5,0.0
ALKS,0.014851422941309474,-0.05375046844429843,-0.13347324044115927,-0.020971701106942242,0,0,0,0,0,0,0,0.0,0.0,0.0
ALLO,0.04123817282860192,-0.025200343847330053,-0.21332012970739234,0.2212389389866809,0,0,0,0,0,0,0,0.0,0.0,0.0
ALMS,0.061999790875506465,-0.23470335650077612,-0.3222758287888279,2.4833332697550454,1,1,2,3,0,6,6,0.42857142857142855,0.42857142857142855,0.25
ALNY,0.01486804993561841,0.11002964482563116,0.2259531910506576,0.2230366211877477,0,5,5,4,0,20,20,0.19047619047619047,0.19047619047619047,1.0
ALT,0.10940548655485009,-0.11840246848446956,-0.009456085273644721,-0.04909556186574182,0,0,2,0,0,2,2,0.0,0.0,0.0
