ticker,score,percentile
LLY,0.7759274119804498,0.86
JNJ,0.14316137126865214,0.36
ABBV,0.6662911687888002,0.64
AZN,0.6956809592303523,0.7
MRK,0.7392262316825657,0.78
NVO,0.7031458659946034,0.72
ABT,0.1364453353972535,0.34
ISRG,0.18945832065832569,0.48
AMGN,0.759477112513421,0.84
GILD,0.7050436175388115,0.74
PFE,0.6237544101957935,0.6
VRTX,0.9590010903990113,0.96
BMY,0.6111245670305762,0.58
REGN,0.6944538397683117,0.68
IDXX,-1.6289334948998508,0.08
ALNY,0.5721430607629505,0.52
ARGX,-1.63284838780834,0.06
TAK,0.6272522861926417,0.62
EW,0.15194042753893158,0.42
IQV,-1.6122293486534465,0.22
INSM,-1.609110363632546,0.26
TEVA,0.8136634389595543,0.9
RMD,0.11956797543596488,0.28
ONC,-1.6143565129116826,0.18
NTRA,0.37597519025511106,0.5
MTD,-1.622743040677136,0.14
DXCM,0.1799477570262296,0.46
BIIB,0.5918150014658438,0.56
BNTX,0.7828454881335134,0.88
WAT,-1.6180832158730236,0.16
UTHR,0.5855005407481716,0.54
ILMN,0.13606022491042918,0.32
PODD,0.14474962011822082,0.38
WST,-1.6398313305642411,0.02
GMAB,0.7523908351864511,0.82
INCY,0.6777170091950785,0.66
EXAS,-1.6395081622890146,0.04
ZBH,0.1634773496769681,0.44
MEDP,0.8480373494808491,0.94
RVMD,0.732976528125412,0.76
ROIV,-1.626389708979155,0.1
BBIO,0.13542074835617282,0.3
VTRS,0.8170100862340123,0.92
NBIX,1.203902406087761,0.98
MDGL,1.3841625426564486,1.0
SMMT,-1.6257351146304264,0.12
IONS,0.7512309956375247,0.8
ASND,-1.6141359268607325,0.2
PEN,0.1448368546573408,0.4
MRNA,-1.6109104115089135,0.24
